,Unnamed: 0,AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,CEC Plant ID,Energy_Source,Lng,Lat,TAC_AREA_ID,DESCRIPTION,COMMENTS,EFF_START_DT,EFF_END_DT,EFF_START_DT_GMT,EFF_END_DT_GMT
1507,1507,AS_SP15,GEN,TRNSWD_1_QF,TRANWND_1_N001,25637_TRANWND _115_GUQF,22M7_DB114,2022-07-28T00:00:00,4960,W0452,WND,-116.718346588,33.914878964,TAC_ECNTR,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1508,1508,AS_SP26,GEN,TULEWD_1_TULWD1,TULEWC1_7_N001,22941_TULEW C1_34.5_GU1,22M7_DB114,2022-07-28T00:00:00,4964,W0467,WND,-116.301620734,32.7621972370001,TAC_SOUTH,TAC_SOUTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1509,1509,AS_SP15,GEN,TULEWD_1_TULWD1,TULEWC1_7_N001,22941_TULEW C1_34.5_GU1,22M7_DB114,2022-07-28T00:00:00,4964,W0467,WND,-116.301620734,32.7621972370001,TAC_SOUTH,TAC_SOUTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1510,1510,AS_NP15,GEN,TULLCK_7_UNITS,TULLCK_7_UNITS-APND,,22M7_DB114,2022-07-28T00:00:00,4968,H0527,WAT,-120.604919733,37.876138117,TAC_NORTH,TAC_NORTH,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00
1511,1511,AS_NP26,GEN,TULLCK_7_UNITS,TULLCK_7_UNITS-APND,,22M7_DB114,2022-07-28T00:00:00,4968,H0527,WAT,-120.604919733,37.876138117,TAC_NORTH,TAC_NORTH,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00
1512,1512,AS_SP15,GEN,TWISSL_6_SOLAR,TWISSLMN_6_N005,34968_TWISSLMN_70.0_GU1,22M7_DB114,2022-07-28T00:00:00,4977,S9177,SUN,-119.716082255,35.6474999070001,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1513,1513,AS_NP26,GEN,TWISSL_6_SOLAR,TWISSLMN_6_N005,34968_TWISSLMN_70.0_GU1,22M7_DB114,2022-07-28T00:00:00,4977,S9177,SUN,-119.716082255,35.6474999070001,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1514,1514,AS_NP26,GEN,TWISSL_6_SOLAR1,ISIS_7_N002,34969_ISIS    _12.5_GU1,22M7_DB114,2022-07-28T00:00:00,4978,S0434,SUN,-119.906096865,35.7287587640001,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1515,1515,AS_SP15,GEN,TWISSL_6_SOLAR1,ISIS_7_N002,34969_ISIS    _12.5_GU1,22M7_DB114,2022-07-28T00:00:00,4978,S0434,SUN,-119.906096865,35.7287587640001,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1516,1516,AS_SP15,GEN,TX-ELK_6_SOLAR1,ELKHILLS_7_N001,34921_ELKHILLS_12.5_GU1,22M7_DB114,2022-07-28T00:00:00,4982,S0551,SUN,-119.387245524,35.2110390890001,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1517,1517,AS_NP26,GEN,TX-ELK_6_SOLAR1,ELKHILLS_7_N001,34921_ELKHILLS_12.5_GU1,22M7_DB114,2022-07-28T00:00:00,4982,S0551,SUN,-119.387245524,35.2110390890001,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1518,1518,AS_SP15,GEN,TXMCKT_6_UNIT,TEXMCKT_1_N101,34785_TEX MCKT_115_GU1,22M7_DB114,2022-07-28T00:00:00,4984,G0600,NG,-119.659825133,35.315983128,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1519,1519,AS_NP26,GEN,TXMCKT_6_UNIT,TEXMCKT_1_N101,34785_TEX MCKT_115_GU1,22M7_DB114,2022-07-28T00:00:00,4984,G0600,NG,-119.659825133,35.315983128,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1520,1520,AS_NP15,GEN,UKIAH_7_LAKEMN,CITYUKH_1_N001,38020_CITY UKH_115_GULM,22M7_DB114,2022-07-28T00:00:00,4995,H0283,,-123.185814432,39.1975539920001,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1521,1521,AS_NP26,GEN,UKIAH_7_LAKEMN,CITYUKH_1_N001,38020_CITY UKH_115_GULM,22M7_DB114,2022-07-28T00:00:00,4995,H0283,,-123.185814432,39.1975539920001,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1522,1522,AS_SP15,GEN,ULTOGL_1_POSO,ULTRAOGL_7_N001,35035_ULTRAOGL_13.8_GU1,22M7_DB114,2022-07-28T00:00:00,4996,C0022,,-119.075220227,35.5472819730001,TAC_NORTH,TAC_NORTH,,2017-11-01T00:00:00,2030-12-31T23:59:59,2017-11-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
1523,1523,AS_NP26,GEN,ULTOGL_1_POSO,ULTRAOGL_7_N001,35035_ULTRAOGL_13.8_GU1,22M7_DB114,2022-07-28T00:00:00,4996,C0022,,-119.075220227,35.5472819730001,TAC_NORTH,TAC_NORTH,,2017-11-01T00:00:00,2030-12-31T23:59:59,2017-11-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
1524,1524,AS_NP15,GEN,ULTPCH_1_UNIT 1,CHSTN_7_B1,34050_CH.STN. _13.8_GU1,22M7_DB114,2022-07-28T00:00:00,4999,E0100,WDS,-120.477340626,37.8745966050001,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1525,1525,AS_NP26,GEN,ULTPCH_1_UNIT 1,CHSTN_7_B1,34050_CH.STN. _13.8_GU1,22M7_DB114,2022-07-28T00:00:00,4999,E0100,WDS,-120.477340626,37.8745966050001,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1526,1526,AS_NP15,GEN,ULTPFR_1_UNIT 1,ULTPWRJ_1_N001,34375_ULTPWRJ _115_GU1,22M7_DB114,2022-07-28T00:00:00,5000,E0098,WDS,-119.723099728,36.6888339540001,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
