,AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Long,Unnamed: 10,TAC_AREA_ID,DESCRIPTION,COMMENTS,EFF_START_DT,EFF_END_DT,EFF_START_DT_GMT,EFF_END_DT_GMT
384,AS_NP15,GEN,PALALT_7_COBUG,PLOALTO_1_N019,38028_PLO ALTO_115_GUM1,22M7_DB114,2022-07-28 0:00:00,2839,33.35920034,-117.111482,,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
385,AS_NP26,GEN,PALALT_7_COBUG,PLOALTO_1_N019,38028_PLO ALTO_115_GUM1,22M7_DB114,2022-07-28 0:00:00,2839,33.35920034,-117.111482,,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
422,AS_SP15,GEN,SMRCOS_6_UNIT 1,SANMRCOS_6_N012,22724_SANMRCOS_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,4620,33.12853545,-117.197287,,TAC_SOUTH,TAC_SOUTH,,2017-11-01T00:00:00,2030-12-31T23:59:59,2017-11-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
423,AS_SP26,GEN,SMRCOS_6_UNIT 1,SANMRCOS_6_N012,22724_SANMRCOS_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,4620,33.12853545,-117.197287,,TAC_SOUTH,TAC_SOUTH,,2017-11-01T00:00:00,2030-12-31T23:59:59,2017-11-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
438,AS_SP26,GEN,ESCNDO_6_PL1X2,CPESCNDO_7_A1,22257_RAMCO_ES_13.8_GUA1,22M7_DB114,2022-07-28 0:00:00,1293,33.12579572,-117.1160761,,TAC_SOUTH,TAC_SOUTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
439,AS_SP15,GEN,ESCNDO_6_PL1X2,CPESCNDO_7_A1,22257_RAMCO_ES_13.8_GUA1,22M7_DB114,2022-07-28 0:00:00,1293,33.12579572,-117.1160761,,TAC_SOUTH,TAC_SOUTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
440,AS_SP26,GEN,ESCNDO_6_UNITB1,CPESCNDO_7_B1,22153_CPESCNDO_13.8_GU1,22M7_DB114,2022-07-28 0:00:00,1294,33.12587799,-117.1166727,,TAC_SOUTH,TAC_SOUTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
441,AS_SP15,GEN,ESCNDO_6_UNITB1,CPESCNDO_7_B1,22153_CPESCNDO_13.8_GU1,22M7_DB114,2022-07-28 0:00:00,1294,33.12587799,-117.1166727,,TAC_SOUTH,TAC_SOUTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
446,AS_SP15,GEN,ESCO_6_GLMQF,GOALLINE_6_N001,22332_GOALLINE_69.0_GU1,22M7_DB114,2022-07-28 0:00:00,1296,33.11703204,-117.0888245,,TAC_SOUTH,TAC_SOUTH,,2022-05-01T00:00:00,2030-12-31T23:59:59,2022-05-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
447,AS_SP26,GEN,ESCO_6_GLMQF,GOALLINE_6_N001,22332_GOALLINE_69.0_GU1,22M7_DB114,2022-07-28 0:00:00,1296,33.11703204,-117.0888245,,TAC_SOUTH,TAC_SOUTH,,2022-05-01T00:00:00,2030-12-31T23:59:59,2022-05-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
