,AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,CEC Plant ID,Lng,Lat
1600,AS_SP26,GEN,VICTOR_1_EXSLRB,VICTOR_7_N005,24604_VICTOR  _33.0_GUSB,22M7_DB114,2022-07-28T00:00:00,5111,S0413,-117.341892216,34.583340547
1601,AS_SP15,GEN,VICTOR_1_EXSLRB,VICTOR_7_N005,24604_VICTOR  _33.0_GUSB,22M7_DB114,2022-07-28T00:00:00,5111,S0413,-117.341892216,34.583340547
1602,AS_SP26,GEN,VICTOR_1_LVSLR1,VICTOR_7_N006,24604_VICTOR  _33.0_GUL1,22M7_DB114,2022-07-28T00:00:00,5117,S0328,-116.865851872,34.3970296000001
1603,AS_SP15,GEN,VICTOR_1_LVSLR1,VICTOR_7_N006,24604_VICTOR  _33.0_GUL1,22M7_DB114,2022-07-28T00:00:00,5117,S0328,-116.865851872,34.3970296000001
1604,AS_SP26,GEN,VICTOR_1_LVSLR2,VICTOR_7_N007,24604_VICTOR  _33.0_GUL2,22M7_DB114,2022-07-28T00:00:00,5118,S0329,-116.862488019,34.4083280240001
1605,AS_SP15,GEN,VICTOR_1_LVSLR2,VICTOR_7_N007,24604_VICTOR  _33.0_GUL2,22M7_DB114,2022-07-28T00:00:00,5118,S0329,-116.862488019,34.4083280240001
1606,AS_SP26,GEN,VICTOR_1_SLRHES,VICTOR_7_GN001,24603_VICTOR  _12.0_GU1,22M7_DB114,2022-07-28T00:00:00,5125,S0168,-117.376956154,34.434491425
1607,AS_SP15,GEN,VICTOR_1_SLRHES,VICTOR_7_GN001,24603_VICTOR  _12.0_GU1,22M7_DB114,2022-07-28T00:00:00,5125,S0168,-117.376956154,34.434491425
1608,AS_SP26,GEN,VICTOR_1_SOLAR1,VICTOR_7_N002,24604_VICTOR  _33.0_GUS1,22M7_DB114,2022-07-28T00:00:00,5126,S0279,-117.47484156,34.512425067
1609,AS_SP15,GEN,VICTOR_1_SOLAR1,VICTOR_7_N002,24604_VICTOR  _33.0_GUS1,22M7_DB114,2022-07-28T00:00:00,5126,S0279,-117.47484156,34.512425067
1610,AS_SP15,GEN,VICTOR_1_SOLAR2,VICTOR_7_N009,24604_VICTOR  _33.0_GUS2,22M7_DB114,2022-07-28T00:00:00,5127,S0333,-117.342716117,34.690750291
1611,AS_SP26,GEN,VICTOR_1_SOLAR2,VICTOR_7_N009,24604_VICTOR  _33.0_GUS2,22M7_DB114,2022-07-28T00:00:00,5127,S0333,-117.342716117,34.690750291
1612,AS_SP15,GEN,VICTOR_1_SOLAR3,VICTOR_7_N011,24604_VICTOR  _33.0_GUS3,22M7_DB114,2022-07-28T00:00:00,5128,S0411,-117.376759227,34.555258386
1613,AS_SP26,GEN,VICTOR_1_SOLAR3,VICTOR_7_N011,24604_VICTOR  _33.0_GUS3,22M7_DB114,2022-07-28T00:00:00,5128,S0411,-117.376759227,34.555258386
1614,AS_SP26,GEN,VICTOR_1_SOLAR4,VICTOR_7_N010,24604_VICTOR  _33.0_GUS4,22M7_DB114,2022-07-28T00:00:00,5129,S0410,-117.369724842,34.5553464880001
1615,AS_SP15,GEN,VICTOR_1_SOLAR4,VICTOR_7_N010,24604_VICTOR  _33.0_GUS4,22M7_DB114,2022-07-28T00:00:00,5129,S0410,-117.369724842,34.5553464880001
1616,AS_SP15,GEN,VICTOR_1_VDRYFA,VICTOR_7_GN002,24603_VICTOR  _12.0_GUDF,22M7_DB114,2022-07-28T00:00:00,5130,S0417,-117.469890199,34.4979335730001
1617,AS_SP26,GEN,VICTOR_1_VDRYFA,VICTOR_7_GN002,24603_VICTOR  _12.0_GUDF,22M7_DB114,2022-07-28T00:00:00,5130,S0417,-117.469890199,34.4979335730001
1618,AS_SP15,GEN,VICTOR_1_VDRYFB,VICTOR_7_N008,24604_VICTOR  _33.0_GUDB,22M7_DB114,2022-07-28T00:00:00,5131,S0418,-117.472327854,34.49785996
1619,AS_SP26,GEN,VICTOR_1_VDRYFB,VICTOR_7_N008,24604_VICTOR  _33.0_GUDB,22M7_DB114,2022-07-28T00:00:00,5131,S0418,-117.472327854,34.49785996
1620,AS_SP15,GEN,VILLPK_2_VALLYV,VILLAPK_6_N005,24216_VILLA PK_66.0_GUVV,22M7_DB114,2022-07-28T00:00:00,5141,H0539,-117.829306076,33.900014029
1621,AS_SP26,GEN,VILLPK_2_VALLYV,VILLAPK_6_N005,24216_VILLA PK_66.0_GUVV,22M7_DB114,2022-07-28T00:00:00,5141,H0539,-117.829306076,33.900014029
